SiO2,Al2O3,Fe2O3,CaO,Na2O,K2O,MgO,SO3,mid,pii_tid,label,total
22.06,5.13,5.36,65.37,0.0,0.0,0.16,2.03,S0008884601006263_0_5_1_0_Cement,S0008884601006263_0,[],100.11
90.7,1.29,1.14,0.83,0.0,0.0,1.99,0.66,S0008884601006263_0_5_2_0_SF,S0008884601006263_0,[3],96.61
19.88,4.81,2.1,67.72,0.0,0.0,1.81,0.0,S0008884601006287_0_1_1_0,S0008884601006287_0,[],96.32
51.2,33.18,6.1,2.48,0.0,0.0,1.64,0.32,S0008884601006287_0_2_1_0,S0008884601006287_0,[],94.92
35.45,9.69,1.66,31.49,0.0,0.0,12.88,0.0,S0008884601006287_0_3_1_0,S0008884601006287_0,[],91.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.56,S0008884601006287_0_4_1_0,S0008884601006287_0,[],32.56
0.0,0.0,0.0,60.85,0.0,0.0,0.0,2.6,S0008884601006317_0_1_1_0_OPC,S0008884601006317_0,[],63.45
31.42,9.15,4.29,42.42,0.0,0.0,5.18,1.63,S0008884601006342_0_1_0_0,S0008884601006342_0,[],94.09
68.4,2.05,11.15,0.35,0.28,2.2,0.03,4.58,S0008884601006378_0_1_1_0,S0008884601006378_0,[],89.04
93.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601006469_0_2_2_0,S0008884601006469_0,[],93.1
95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601006469_0_2_3_0,S0008884601006469_0,[],95.8
47.34,22.34,15.08,6.38,0.6,1.23,0.82,1.43,S0008884601006809_0_10_1_0_FM,S0008884601006809_0,[],95.22
39.77,21.46,5.69,18.46,3.71,0.66,3.77,1.86,S0008884601006809_0_11_1_0_WM,S0008884601006809_0,[],95.37999999999998
34.6,16.45,7.13,27.71,1.51,0.21,5.89,2.71,S0008884601006809_0_12_1_0_OK,S0008884601006809_0,[],96.21
18.66,6.56,3.02,61.4,0.41,1.03,2.93,4.39,S0008884601006809_0_2_1_0_HAPC 1,S0008884601006809_0,[],98.4
20.83,5.11,2.01,62.98,0.28,1.12,2.43,3.25,S0008884601006809_0_3_1_0_HAPC 2,S0008884601006809_0,[],98.01
21.27,4.22,2.98,62.71,0.1,0.77,2.13,2.82,S0008884601006809_0_4_1_0_LAPC,S0008884601006809_0,[],97.0
96.94,0.52,0.14,0.58,0.04,0.42,0.0,0.13,S0008884601006809_0_7_1_0_SF,S0008884601006809_0,[3],98.77
22.43,3.74,4.28,63.28,0.08,0.35,0.7,3.62,S0008884601006901_0_1_1_0_1,S0008884601006901_0,[],98.48
23.57,3.81,1.62,66.26,0.08,0.34,0.58,2.48,S0008884601006901_0_1_2_0_2,S0008884601006901_0,[],98.74
50.1,38.5,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601006937_1_0_1_0,S0008884601006937_1,[],88.6
19.83,5.32,3.47,61.88,0.2,0.82,1.78,2.84,S0008884601006998_0_1_1_0,S0008884601006998_0,[],96.14
20.22,5.34,3.2,62.78,0.29,0.11,2.26,2.38,S0008884601007001_0_1_1_0_OPC,S0008884601007001_0,[],96.58
5.42,0.59,0.2,51.45,0.24,0.02,1.0,0.17,S0008884601007001_0_1_2_0_Limestone,S0008884601007001_0,[],59.09000000000001
1.0,1.0,0.5,45.0,0.0,0.1,0.5,0.1,S0008884601007013_0_1_1_0_Limestones,S0008884601007013_0,[],48.2
46.0,10.0,4.0,1.0,0.0,2.0,1.0,0.2,S0008884601007013_0_1_2_0_Clay materials,S0008884601007013_0,[],64.2
13.0,3.0,1.5,42.0,0.0,0.3,0.5,0.1,S0008884601007013_0_1_3_0_Raw,S0008884601007013_0,[],60.4
20.0,5.0,3.0,65.0,0.0,0.5,0.5,0.8,S0008884601007013_0_1_4_0_Clinkers,S0008884601007013_0,[],94.8
22.81,5.84,3.27,68.08,0.0,0.0,0.0,0.0,S0008884601007050_0_2_1_0,S0008884601007050_0,[],100.0
20.7,3.7,3.0,62.9,0.1,0.6,4.2,2.6,S0008884601007074_1_1_1_0_PC,S0008884601007074_1,[],97.79999999999998
35.3,9.9,0.6,34.7,0.3,0.4,14.6,4.0,S0008884601007074_1_2_1_0_BFS,S0008884601007074_1,[2],99.8
0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,S0008884601007074_2_2_1_0_1,S0008884601007074_2,[],1.0
0.33333,0.0,0.0,0.66667,0.0,0.0,0.0,0.0,S0008884601007074_2_3_1_0_2,S0008884601007074_2,[],1.0
0.22222,0.01389,0.0,0.75,0.0,0.0,0.01389,0.0,S0008884601007074_2_4_1_0_3,S0008884601007074_2,[],1.0
0.0,0.36842,0.0,0.57895,0.0,0.0,0.0,0.0,S0008884601007074_2_5_1_0_4,S0008884601007074_2,[],0.94737
0.33333,0.0,0.0,0.66667,0.0,0.0,0.0,0.0,S0008884601007074_2_6_1_0_5,S0008884601007074_2,[],1.0
0.42857,0.0,0.0,0.42857,0.0,0.0,0.14286,0.0,S0008884601007074_2_7_1_0_6,S0008884601007074_2,[],1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601007074_2_8_1_0_7,S0008884601007074_2,[],0.0
69.2,13.6,2.8,1.8,2.92,3.2,1.0,0.1,S0008884601007141_3_6_1_0_PZ-A,S0008884601007141_3,[],94.62
38.26,9.32,0.6,40.49,0.4,0.39,8.7,0.47,S0008884601007177_0_1_1_0_GBFS,S0008884601007177_0,[2],98.63
18.67,5.42,2.44,60.72,0.52,0.31,2.22,2.86,S0008884601007177_0_1_2_0_OPC,S0008884601007177_0,[],93.16
48.5,29.6,4.6,6.1,3.7,0.9,2.3,0.0,S0008884601007244_0_1_1_0,S0008884601007244_0,[],95.7
50.0,28.0,12.0,3.5,0.2,0.7,1.3,0.0,S0008884601007244_0_1_2_0,S0008884601007244_0,[],95.7
20.41,4.81,2.88,63.86,0.0,0.0,1.52,2.03,S0008884601007311_1_2_1_0_Cement,S0008884601007311_1,[],95.51
58.09,20.62,9.55,2.65,0.0,0.0,1.14,0.56,S0008884601007311_1_3_1_0_FA,S0008884601007311_1,[0],92.61
92.45,0.63,1.16,0.45,0.0,0.0,1.84,0.0,S0008884601007311_1_4_1_0_SF,S0008884601007311_1,[3],96.53
